"weight" "lengthc" "lengthf" "lengthp" "Fat02" "Fat03" "Fat11" "Meat11" "Fat12" "Meat12" "Fat13" "Meat13" "Fat14" "Fat16" "LeanMeat" "slhouse" "sex"
"297" 82.1 172 135 50 15 18 20 55 18 57 15 60 19 21 57.048731974 "b" "a"
"298" 63.8 165 129 49 10 13 11 49 11 44 11 54 12 13 60.547945205 "b" "a"
"299" 68.6 166 132 50 8 12 15 51 13 48 14 53 13 10 60.275201914 "b" "b"
"300" 79.2 168 133 50 10 14 14 53 12 52 11 61 12 14 64.275215408 "b" "b"
"301" 78.3 173 136 49 11 13 12 48 12 51 11 60 14 15 65.051600953 "b" "b"
"302" 73.7 162 131 46 12 21 21 49 15 55 14 53 16 16 56.563526835 "b" "a"
"303" 73.8 166 132 49 10 15 14 53 11 51 11 56 12 11 62.114695341 "b" "b"
"304" 80.4 174 136 50 12 13 11 55 11 53 10 62 14 12 64.072847682 "b" "a"
"305" 86.2 175 140 50 14 17 19 53 19 56 16 57 15 17 55.832742736 "b" "a"
"306" 66.9 163 128 49 9 12 12 51 12 55 10 57 11 11 65.217921365 "b" "a"
"307" 70.5 165 131 49 11 13 13 60 13 63 9 67 10 11 64.77482679 "b" "a"
"308" 73 179 139 51 13 16 15 53 14 51 13 55 14 14 59.972375691 "b" "a"
"309" 64.6 162 125 49 13 16 19 49 14 48 16 52 14 15 57.072171447 "b" "a"
"310" 73.4 164 130 47 11 14 12 58 11 57 10 67 13 11 67.314969393 "b" "a"
"311" 80.5 173 137 50 14 17 20 56 18 57 16 66 20 20 56.5488513 "b" "b"
"312" 77.7 175 138 50 10 15 11 51 11 50 8 55 12 12 63.270735524 "b" "a"
"313" 70.1 165 128 49 10 16 16 45 12 42 11 50 16 13 60.454545455 "b" "b"
"314" 70.9 164 126 48 9 11 11 59 10 57 10 61 12 11 62.46655032 "b" "a"
"315" 69.3 166 129 48 12 19 17 53 15 53 13 57 15 18 56.600698487 "b" "a"
"316" 74.6 174 138 52 9 12 15 56 14 51 12 62 15 17 60.934199838 "b" "b"
"317" 73.9 164 132 47 11 15 14 52 13 53 11 59 11 12 64.013248689 "b" "b"
"318" 72.5 176 135 53 12 22 15 47 10 48 12 52 15 12 59.466927156 "b" "a"
"319" 79.2 175 136 51 13 21 16 51 14 53 12 58 16 17 60.63735692 "b" "a"
"320" 76.4 171 133 50 15 17 20 48 18 42 15 52 16 18 58.192803437 "b" "b"
"321" 70.6 163 127 47 10 17 13 53 14 58 10 58 11 11 64.402985075 "b" "b"
"322" 75.5 166 130 49 13 14 19 54 13 54 14 64 18 16 59.603512507 "b" "a"
"323" 74.9 170 132 48 13 18 19 45 19 42 15 49 19 21 58.566792861 "b" "b"
"324" 82.4 174 138 49 8 12 15 53 12 53 12 54 13 11 64.160779537 "b" "a"
"325" 68.4 164 129 49 10 12 11 49 12 41 9 50 10 11 63.720930233 "b" "b"
"326" 66.4 167 130 51 14 19 16 39 15 39 11 40 15 13 54.858015267 "b" "b"
"327" 65.2 162 128 48 7 15 13 43 12 38 10 44 12 12 60.909657321 "b" "b"
"328" 74.4 168 132 50 9 14 13 61 11 64 10 67 12 10 65.017950842 "b" "a"
"329" 61.6 172 132 58 12 13 18 39 16 36 13 44 15 21 55.328274497 "b" "b"
"330" 82.6 176 139 51 12 15 11 57 14 57 10 64 15 17 60.466585662 "b" "a"
"331" 74.1 167 129 49 14 21 19 55 18 55 13 61 18 17 55.053380783 "b" "b"
"332" 80.5 170 133 50 14 19 18 60 15 59 13 63 19 17 57.990514229 "b" "b"
"333" 70 170 132 51 8 12 12 52 10 48 11 52 12 9 62.894736842 "b" "a"
"334" 80.3 171 135 50 11 17 12 52 14 50 12 56 13 12 62.67444811 "b" "a"
"335" 68.4 160 125 47 12 15 17 49 12 49 10 47 14 11 61.067064083 "b" "a"
"336" 72 166 132 50 12 13 21 46 16 49 14 51 18 19 54.194185718 "b" "b"
"337" 72.3 165 130 49 10 14 23 49 19 49 17 52 17 15 58.947070478 "b" "b"
"338" 79.4 179 141 53 17 22 20 55 18 56 16 58 19 19 53.65550482 "b" "b"
"339" 76.6 177 139 52 11 14 13 57 13 58 11 61 13 11 62.957933972 "b" "b"
"340" 69.9 168 132 49 12 18 20 50 18 40 14 48 17 17 56.562863795 "b" "b"
"341" 65 163 127 49 13 18 18 41 13 38 13 41 16 14 55.654685494 "b" "b"
"342" 66.7 162 127 49 11 12 11 45 10 42 9 53 12 12 63.628020801 "b" "b"
"343" 72.3 173 138 52 9 14 11 51 8 54 7 59 9 8 64.067510549 "b" "a"
"344" 75.7 167 129 49 12 17 22 54 21 46 16 53 17 20 55.804195804 "b" "b"
